city_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
city_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
city_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/dev/random,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esgtsa_lincomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esgtsa_linear,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,644928
esgtsa_nested,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fast,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,226849782656
hybridtaus,91669580,140465676,184803404,208144200,213604188,221518572,221518572,17354744,44503160,70445972,89869592,151221440,180691760,54479504,27594524,17391100,46670368,74530776,91669580,140465676,184803404,208144200,213604188,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,82809235596
ign,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,221518572,226849782656
iqint1_lincomb,221518572,55368482,27676800,13830960,6908062,3446622,1715902,850784,418064,201880,94978,45112,24622,24622,6912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332132374
iqint1_linear,221518572,55368482,27676800,13830960,6908062,3446592,1715872,851924,418944,204160,95000,42106,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,20154,332480554
iqint1_nested,221518572,13838400,3452160,857472,206016,41760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239914380
iqint2,4014233,1274158,652864,82656,34196,11142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6071355
iqint2.y,3157612,1573032,703981,76273,31965,9639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5552738
iqint2.z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iqint3,854688,240104,105385,21622,2639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1231081
jkiss32,25957696,4889410,1226436,311731,1230688,19344751,11861460,6635613,4301500,13679540,43052152,63298230,110764327,156992445,185556632,203759032,207822974,218487848,220327852,220982748,221518572,221518572,26017232,13559324,11609520,11773244,25451640,41690084,28205180,13737932,8052244,23665560,19786522763
lcg_lincomb,110751844,55368482,27676800,13830960,6908062,4962117,4584126,4432898,2814456,3740236,2747843,2936465,2864792,9730575,5932564,4252729,3480797,3183432,3390250,2769126,3229701,3750841,4058282,4235869,3980954,4289466,4181914,2750530,4665802,3407292,2983854,2537001,381775808
