city_2,10,6,8,8,5,9,8,15,13,11,7,8,4,3,7,8,5,14,5,7,4,6,9,3,5,6,4,11,9,3,9,7,7204
city_3,5,8,5,13,6,7,9,7,7,8,4,8,5,2,13,3,8,9,6,3,6,6,9,6,8,9,8,6,9,8,9,8,7239
city_4,7,10,4,3,8,6,5,6,10,4,6,9,7,14,7,3,5,5,4,6,1,6,5,12,7,3,7,4,10,2,6,8,7274
/dev/random,6,9,7,4,6,7,9,9,3,6,4,8,7,6,3,11,10,6,5,10,12,4,9,4,6,15,8,5,2,4,2,7,7310
esgtsa_lincomb,6,9,5,9,4,6,7,6,8,10,10,2,8,7,6,8,6,5,3,5,6,5,7,12,6,8,7,10,8,3,4,5,7182
esgtsa_linear,21338,21345,21337,21336,21332,21335,21335,21332,21331,21332,21345,21334,21333,21340,21338,21335,21337,21335,21335,21342,21333,21336,21339,21344,21332,21338,21332,21337,21333,21335,21337,21343,689602
esgtsa_nested,11,11,2,3,13,7,8,12,8,7,6,6,6,6,3,5,6,8,6,7,10,13,10,5,6,7,6,2,6,7,7,10,7282
fast,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,242094996992
hybridtaus,103977224,150676616,184706680,209667880,218016304,224403792,229969904,37063824,71667536,86243984,105310224,164676960,197212576,58382672,29365144,37026896,68675432,90967048,103977224,150676616,184706680,209667880,218016304,224403792,229969904,229969904,236406000,236406000,236406000,236406000,236406000,236406000,93508478612
ign,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,236406000,242094996992
iqint1_lincomb,236406000,59089968,29537300,14760966,7372806,3678726,1831686,908276,446580,215970,101676,48520,25971,25976,7528,8,3,7,5,6,11,7,11,8,10,7,8,6,7,5,2,6,354464103
iqint1_linear,236406000,59089968,29537300,14760966,7372806,3678720,1831680,910280,447892,218721,101646,45167,21338,21348,21383,21371,21334,21341,21339,21335,21333,21336,21340,21330,21342,21335,21344,21335,21335,21337,21340,21332,354832194
iqint1_nested,236406000,14760960,3686400,913920,218880,44160,30,19,9,13,9,13,7,6,9,4,5,7,6,5,11,5,5,8,6,5,8,9,9,5,7,9,256068339
iqint2,9815212,3990845,2423355,100771,37166,11845,23,27,21,15,4,5,8,6,6,10,8,7,9,6,5,8,9,3,8,5,8,9,5,5,12,5,16430009
iqint2.y,8795352,4491712,2140683,89029,33169,10682,9,4,6,6,6,7,11,6,4,8,13,4,6,11,2,7,7,10,4,8,3,9,5,3,3,8,15597257
iqint2.z,49,12,12,15,10,5,7,7,6,6,14,8,7,8,8,9,9,6,3,1,8,7,5,10,6,5,7,4,11,5,7,5,7286
iqint3,912000,442580,295847,32685,5715,16,17,5,6,9,3,3,4,9,9,12,4,7,6,6,3,6,6,8,3,10,8,8,4,13,7,5,1760813
jkiss32,28015072,4755028,1162828,445948,11971968,42940568,25863455,11171833,15539730,35861280,58322808,80542870,125731416,158341661,170977530,196932466,219443296,228484384,236356896,236356896,236406000,236406000,28015072,22741104,17620896,21618656,36764016,56583680,35303296,16344688,19573648,40684896,26060243082
lcg_lincomb,118195312,59089968,29537300,14760966,7372806,9219044,7661775,10762890,7736010,6878807,5614258,5499678,5577987,33005855,17975309,10558449,7132857,5413595,7104697,6620739,6294235,6687980,9271623,9286662,7565363,7086511,6833210,6005565,8460582,5637640,5309930,7452674,599154809
lcg_linear,118195312,59089968,29537300,14760966,7372806,8066402,5586051,6168284,5620223,5139010,5329265,7053896,6813847,6406916,6486933,6024725,6520608,9821636,6525716,6890537,5944335,7278530,5562690,7830904,9983360,7678158,5555165,5688165,6156059,7560988,41558127,74547837,719397629
lcg_nested,118195312,59089968,29537300,14760966,7372800,5294987,4891052,6494103,7430232,18313569,10667688,7152175,8971185,6586318,5444605,5091672,4779746,5388206,5841253,6051140,5591363,5111835,4877987,4758531,6609225,5195444,7552814,38606905,27477993,23359520,27086754,23817626,722419699
lookup3,26660791,7678880,1261568,330127,171968,1225649,9087589,4270928,2054085,3801602,5460966,5391392,9953496,22800668,38474867,64083113,29765343,7543522,3349401,3453955,4303704,10341116,26244435,12807325,5735583,1071470,846623,652017,4384927,21485603,44291096,24711347,1708207633
