pcg4d.y,132.283,132.473,133.146,132.96,136.74,133.368,133.117,132.894,132.883
pcg4d.z,132.283,132.473,133.146,132.96,136.74,133.368,133.117,132.894,132.883
pcg_lincomb,52.6509,53.4535,53.4935,53.6668,53.4254,53.1549,53.081,53.2052,52.7604
pcg_linear,50.7439,51.0134,50.9422,50.9067,51.3567,51.174,51.5406,51.1101,51.0001
pcg_nested,97.2991,97.2806,99.5293,96.5477,97.7397,97.8639,97.5722,97.7082,97.5254
pixar_randfloat,104.928,104.954,104.997,104.682,105.112,105.629,105.18,105.425,105.397
prospector_best_lincomb,69.6476,69.6782,69.7384,70.0763,70.1447,70.0137,70.205,70.0633,70.0321
prospector_best_linear,68.2505,68.487,68.5791,68.6403,68.7945,68.6806,68.497,68.7262,68.5904
prospector_best_nested,117.218,114.626,115.027,115.243,115.199,115.256,115.213,115.168,115.009
pseudo,78.314,77.3954,77.2449,77.5691,77.5058,77.3456,77.3999,77.5079,77.4891
pxq_lincomb,68.7516,69.1887,70.2602,69.3093,69.4907,69.3319,69.313,70.3269,69.451
pxq_linear,68.3174,68.7468,68.7602,68.8145,68.9522,68.974,69.8886,68.8909,68.9478
pxq_nested,114.279,117.641,115.188,115.405,115.451,115.555,115.436,115.183,115.369
ranlim32_lincomb,123.061,123.794,124.075,124.328,124.177,124.034,123.898,124.151,124.069
ranlim32_linear,126.839,123.809,124.434,123.891,123.718,127.465,124.156,124.282,126.791
ranlim32_nested,210.577,210.914,210.688,210.979,211.504,211.185,211,211.803,211.491
superfast_2,138.035,134.634,134.622,134.711,135.086,135.286,134.85,134.816,134.846
superfast_3,149.75,150.349,155.51,154.782,150.651,150.542,150.443,150.17,150.683
superfast_4,170.738,173.432,174.338,173.969,174.208,174.455,174.213,174.011,173.944
tea2,126.071,132.287,128.507,128.468,132.53,128.503,128.664,128.035,128.904
tea2.y,126.071,132.287,128.507,128.468,132.53,128.503,128.664,128.035,128.904
tea3,181.36,184.485,184.638,184.744,185.276,184.723,185.11,184.806,185.092
tea3.y,181.36,184.485,184.638,184.744,185.276,184.723,185.11,184.806,185.092
tea4,240.528,245.593,246.014,246.5,245.759,246.369,245.342,245.308,245.354
tea4.y,240.528,245.593,246.014,246.5,245.759,246.369,245.342,245.308,245.354
tea5,360.369,320.839,320.755,320.41,343.117,321.448,320.552,343.616,321.249
tea5.y,360.369,320.839,320.755,320.41,343.117,321.448,320.552,343.616,321.249
trig,82.5275,82.8275,83.0407,82.9126,83.7225,83.0813,83.4826,83.2585,83.0904
wang_lincomb,67.4824,69.0344,68.9362,69.0975,69.1314,69.2753,69.0824,69.1726,69.101
wang_linear,67.9094,69.2193,68.2641,68.4139,68.6819,68.6446,68.4182,68.4314,69.3877
wang_nested,112.505,114.724,140.897,114.613,114.878,114.865,114.821,114.671,114.693
xorshift128,18.9827,19.4861,39.2912,19.4865,19.4158,19.4595,19.5037,19.4573,19.4959
xorshift128.w,18.9827,19.4861,39.2912,19.4865,19.4158,19.4595,19.5037,19.4573,19.4959
xorshift128.y,18.9827,19.4861,39.2912,19.4865,19.4158,19.4595,19.5037,19.4573,19.4959
xorshift128.z,18.9827,19.4861,39.2912,19.4865,19.4158,19.4595,19.5037,19.4573,19.4959
xorshift32_lincomb,49.5169,50.2563,70.9062,50.2889,50.5541,50.6125,50.508,50.3224,50.2914
xorshift32_linear,49.292,50.5288,50.4559,50.4837,50.6841,50.7694,50.5699,50.8411,50.6687
xorshift32_nested,77.6359,79.1431,79.1929,80.4486,79.283,79.2686,80.3729,79.237,78.9652
xoshiro128plusplus,29.071,29.6605,29.6953,29.9417,29.7651,29.7677,29.7701,29.8736,29.7751
xoshiro128starstar,28.2949,28.607,28.5918,28.7075,28.8687,28.7319,28.7229,28.6583,28.6582
xxhash32_2,69.4889,69.7578,69.7379,69.8469,69.9035,69.9458,69.8708,69.867,69.6743
xxhash32_3,80.1622,81.5159,81.7189,81.8096,81.8306,83.2151,81.7258,81.8886,81.744
xxhash32_4,90.4885,92.3042,92.414,92.5762,94.244,92.4208,92.575,92.3786,92.224
